18-09-06:11:43:11 INFO     [pong-server.py:104] Starting Pong Server on localhost:3000
18-09-06:11:43:33 INFO     [pong-server.py:68] 147
18-09-06:11:43:33 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:33 INFO     [pong-server.py:68] 145
18-09-06:11:43:33 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:33 INFO     [pong-server.py:68] 138
18-09-06:11:43:33 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:33 INFO     [pong-server.py:68] 131
18-09-06:11:43:33 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:33 INFO     [pong-server.py:68] 131
18-09-06:11:43:33 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:33 INFO     [pong-server.py:68] 131
18-09-06:11:43:33 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:33 INFO     [pong-server.py:68] 141
18-09-06:11:43:33 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:33 INFO     [pong-server.py:68] 137
18-09-06:11:43:33 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:33 INFO     [pong-server.py:68] 138
18-09-06:11:43:33 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:33 INFO     [pong-server.py:68] 140
18-09-06:11:43:33 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:33 INFO     [pong-server.py:68] 130
18-09-06:11:43:33 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:33 INFO     [pong-server.py:68] 129
18-09-06:11:43:33 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:33 INFO     [pong-server.py:68] 131
18-09-06:11:43:33 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:33 INFO     [pong-server.py:68] 140
18-09-06:11:43:33 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:33 INFO     [pong-server.py:68] 140
18-09-06:11:43:33 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:33 INFO     [pong-server.py:68] 132
18-09-06:11:43:33 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:33 INFO     [pong-server.py:68] 131
18-09-06:11:43:33 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:33 INFO     [pong-server.py:68] 140
18-09-06:11:43:33 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:33 INFO     [pong-server.py:68] 147
18-09-06:11:43:33 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:33 INFO     [pong-server.py:68] 135
18-09-06:11:43:33 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:34 INFO     [pong-server.py:68] 135
18-09-06:11:43:34 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:34 INFO     [pong-server.py:68] 136
18-09-06:11:43:34 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:34 INFO     [pong-server.py:68] 136
18-09-06:11:43:34 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:34 INFO     [pong-server.py:68] 136
18-09-06:11:43:34 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:34 INFO     [pong-server.py:68] 128
18-09-06:11:43:34 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:34 INFO     [pong-server.py:68] 120
18-09-06:11:43:34 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:34 INFO     [pong-server.py:68] 117
18-09-06:11:43:34 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:34 INFO     [pong-server.py:68] 127
18-09-06:11:43:34 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:34 INFO     [pong-server.py:68] 134
18-09-06:11:43:34 INFO     [pong-server.py:70] http://localhost:1337/pong/predict
18-09-06:11:43:34 INFO     [pong-server.py:68] 134
